NONE,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,else,comp,return,$,CODE,VDECL,ASSIGN,RHS,EXPR,TERM,FACTOR,FDECL,ARG,MOREARGS,STMT,IF_STMT,ELSE,BLOCK,COND,COND',RETURN
0,s2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1,s5,,,,,,,,,,,,,,,,,,,r2,3,1,,,,,,4,,,,,,,,,
2,,s6,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,
4,s5,,,,,,,,,,,,,,,,,,,r2,8,1,,,,,,4,,,,,,,,,
5,,s9,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
6,,,s10,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,
9,,,s10,s11,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,r3,r3,,,,,,,,,,,,r3,,r3,,,r3,r3,,,,,,,,,,,,,,,,,
11,,s22,,,s16,s17,s18,,,s21,,s23,,,,,,,,,,,,14,15,19,20,,,,,,,,,,
12,r4,r4,,,,,,,,,,,,r4,,r4,,,r4,r4,,,,,,,,,,,,,,,,,
13,s25,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,24,,,,,,,,
14,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r6,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,r11,,,,,r11,s27,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r13,,,,,r13,r13,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s22,,,,,,,,s21,,s23,,,,,,,,,,,,,28,19,20,,,,,,,,,,
22,,,r15,,,,,r15,r15,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,r16,,,,,r16,r16,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,s22,,,,,,,,s21,,s23,,,,,,,,,,,,,,31,20,,,,,,,,,,
27,,s22,,,,,,,,s21,,s23,,,,,,,,,,,,,,,32,,,,,,,,,,
28,,,,,,,,s26,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,r21,,,,s36,,,,,,,,,,,,,,,35,,,,,,,
31,,,r10,,,,,r10,s27,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,r12,,,,,r12,r12,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,r14,,,,,r14,r14,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,
34,s2,s42,,,,,,,,,,,,r29,,s43,,,r29,,,39,40,,,,,,,,38,41,,37,,,
35,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,
36,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,45
38,s2,s42,,,,,,,,,,,,r29,,s43,,,r29,,,39,40,,,,,,,,38,41,,47,,,
39,r22,r22,,,,,,,,,,,,r22,,r22,,,r22,,,,,,,,,,,,,,,,,,
40,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,r24,r24,,,,,,,,,,,,r24,,r24,,,r24,,,,,,,,,,,,,,,,,,
42,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,
46,,s22,,,s16,s17,s18,,,s21,,s23,,,,,,,,,,,,52,15,19,20,,,,,,,,,,
47,,,,,,,,,,,,,,r28,,,,,r28,,,,,,,,,,,,,,,,,,
48,r23,r23,,,,,,,,,,,,r23,,r23,,,r23,,,,,,,,,,,,,,,,,,
49,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,
50,,,,,,,,,,,r21,,,,s36,,,,,,,,,,,,,,,55,,,,,,,
51,r17,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,
52,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,r32,,,,,,,s59,,,,,,,,,,,,,,,,,,58,
55,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,s2,s42,,,,,,,,,,,,r29,,s43,,,r29,,,39,40,,,,,,,,38,41,,62,,,
61,,,,,,,,,,,r32,,,,,,,s59,,,,,,,,,,,,,,,,,,63,
62,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,
64,r27,r27,,,,,,,,,,,,r27,,r27,s66,,r27,,,,,,,,,,,,,,65,,,,
65,r25,r25,,,,,,,,,,,,r25,,r25,,,r25,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,
67,s2,s42,,,,,,,,,,,,r29,,s43,,,r29,,,39,40,,,,,,,,38,41,,68,,,
68,,,,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,
69,r26,r26,,,,,,,,,,,,r26,,r26,,,r26,,,,,,,,,,,,,,,,,,
