NONE,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,else,while,comp,return,$,CODE,CODE_BLOCK,VDECL,vdecl_tail,ASSIGN,RHS,EXPR,TERM,FACTOR,FDECL,ARG,ARG_LIST,BLOCK,STMT,IF_STMT,ELSE_STMT,WHILE_STMT,COND,RETURN
0,s5,s9,,,,,,,,,,,,,,s10,,s11,,,,,1,2,,6,,,,,3,,,,4,7,,8,,
1,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,
2,s5,s9,s13,,,,,,,,,,,,,s10,,s11,,,,,12,2,,6,,,,,3,,,,4,7,,8,,
3,s5,s9,,,,,,,,,,,,,,s10,,s11,,,,,14,2,,6,,,,,3,,,,4,7,,8,,
4,s5,s9,,,,,,,,,,,,,,s10,,s11,,,,,15,2,,6,,,,,3,,,,4,7,,8,,
5,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,r29,r29,,,,,,,,,,,,r29,,r29,,r29,,r29,,,,,,,,,,,,,,,,,,,,
8,r30,r30,,,,,,,,,,,,r30,,r30,,r30,,r30,,,,,,,,,,,,,,,,,,,,
9,,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,
13,r27,r27,,,,,,,,,,,,r27,,r27,,r27,,r27,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,
16,,s9,r6,,,,,,,s22,,,,,,,,,,,,,,,21,23,,,,,,,,,,,,,,
17,r28,r28,,,,,,,,,,,,r28,,r28,,r28,,r28,,,,,,,,,,,,,,,,,,,,
18,,s32,,,s26,s27,s28,,,s31,,s33,,,,,,,,,,,,,,,24,25,29,30,,,,,,,,,,
